episode,steps,actions,episode_reward
1,818,482,343.382800421068
2,303,165,210.18111171481544
3,1200,755,1420.6727232580522
4,52,43,55.9734678650794
5,138,62,363.3362445121473
6,876,529,1095.7589914512253
7,806,491,342.3044026249304
8,445,156,899.2600170828059
9,113,61,206.06338379585324
10,1512,816,1410.6235340761089
11,895,416,1221.6404531421801
12,529,224,547.376651987726
13,1087,246,1366.0818552967762
14,408,94,508.46119365481866
15,129,33,214.76827610235006
16,300,75,251.75682735138224
17,203,19,380.0087717539006
18,186,7,460.98447732655876
19,244,52,231.54518274073016
20,698,84,975.3048725819655
21,1314,292,1938.480192844157
22,967,171,1600.7603439105312
23,444,49,780.8852358482148
24,52,0,4.184637991479181e-08
25,3767,618,7064.137413605117
26,505,124,1039.2410065672952
27,550,161,936.2715618033695
28,445,116,783.2330829181675
29,248,39,367.3664991106471
30,688,203,795.9118127708949
31,78,7,205.71033492086423
32,1063,561,1760.8743108333188
33,1292,596,1691.8689327955888
34,254,84,286.63943912984485
35,3336,1308,5802.350626672365
36,19,19,1.0000013770625871e-08
37,302,177,623.1338342024421
38,154,154,297.51208407829967
39,19,19,1.0000000000000142e-08
40,112,90,238.8521695441519
41,1494,1025,2008.2289255748994
42,567,397,887.9824499341062
43,279,115,460.4447339775113
44,141,109,315.8532850095157
45,968,463,1891.8637809829106
46,450,293,582.2361655108512
47,760,499,1425.4848997475656
48,388,206,746.8011187510465
49,1655,1093,2497.082781524474
50,589,233,1000.1320405308148
51,112,89,251.69233866604404
52,524,370,748.6694311029667
53,3150,2258,4596.355663135609
54,2372,1521,4181.660145753232
55,214,174,483.9420049264698
56,718,350,1467.6925070674122
57,527,363,1118.569423452849
58,654,468,895.7172001359214
59,19,18,1.0000000000000439e-08
60,978,561,1930.8312504731307
61,140,104,171.55656209849516
62,112,89,262.33823673715807
63,1111,754,1751.0310624436945
64,51,50,35.06726387182727
65,1418,781,2205.527777773609
66,1002,705,1853.4349705057484
67,204,47,443.82954860683884
68,1314,1056,1839.3090034118813
69,895,671,1190.862302109166
70,509,376,991.891859187253
71,134,104,300.755654118999
72,722,550,994.7736546747935
73,380,331,601.9849235588398
74,874,721,1600.1698608761335
75,433,212,828.8145245105463
76,445,182,397.40767453993624
77,2081,216,1504.887168590085
78,18,18,1.0000000000000609e-08
79,318,108,514.8181542646258
80,503,2,6.108924333048568
81,808,53,32.77774889433167
82,526,138,355.0985310793244
83,727,163,683.7084775131403
84,52,50,41.50782136659062
85,205,64,453.17062851871566
86,1908,1327,2817.8355661619767
87,118,37,257.95426795246453
88,223,87,437.186963615538
89,354,165,695.2670230013639
90,1368,1047,2276.0014589193165
91,560,238,1054.7883190496682
92,722,464,1351.8008173464193
93,258,136,447.70076129510085
94,654,2,148.6621618499247
